Name X Y BlueF GreenF RedF Size RadialVelocity
DG0872 3.2940 -10.7364 3.479e-16 2.978e-16 1.187e-16 77.4839 1022.68
DG0873 3.3573 -10.6581 4.098e-16 3.316e-16 1.488e-16 99.5809 1023.03
DG0874 3.4596 -10.8272 6.095e-26 1.579e-27 8.668e-33 95.1369 1023.47
DG0875 3.2176 -10.7502 3.571e-16 3.123e-16 1.341e-16 76.4213 1023.52
DG0876 3.3816 -10.9512 3.684e-16 3.416e-16 1.564e-16 86.0248 1022.34
DG0877 3.2168 -10.6347 4.036e-16 3.342e-16 1.493e-16 84.1236 1022.45
DG0878 3.3819 -11.0154 3.521e-16 2.837e-16 1.331e-16 66.998 1021.6
DG0879 3.2097 -10.8676 5.805e-26 1.589e-27 8.280e-33 88.0304 1022.1
DG0909 -36.4181 -37.1793 1.455e-16 1.457e-16 6.210e-17 79.0888 1288.26
DG1019 1.3794 -3.5643 1.865e-15 1.395e-15 4.482e-16 269.0037 651.17
DG1020 0.9635 -3.5983 7.755e-16 5.824e-16 2.901e-16 126.3504 650.42
DG1021 1.2881 -3.9074 7.668e-16 5.716e-16 3.015e-16 118.3561 650.56
DG1022 1.0496 -3.6575 7.216e-16 6.116e-16 2.960e-16 122.0285 651.51
DG1023 1.0352 -3.3781 5.480e-26 1.322e-27 6.116e-33 141.0845 651.53
DG1024 1.2623 -3.6113 7.140e-16 5.782e-16 2.540e-16 96.4972 651.23
DG1025 1.2399 -3.7039 8.031e-16 6.287e-16 2.653e-16 113.5398 651.72
DG1026 1.3643 -3.3421 6.818e-16 5.579e-16 2.472e-16 108.6313 652.25
DG1027 1.2263 -3.0867 7.539e-16 6.155e-16 2.984e-16 137.5313 649.53
DG1028 1.1851 -3.5425 6.522e-16 5.708e-16 2.529e-16 92.4315 649.59
DG1029 1.3716 -3.4219 7.022e-16 5.458e-16 2.573e-16 114.802 651.29
DG1033 1.9674 19.2249 1.977e-16 1.773e-16 7.531e-17 73.3679 1166.92
DG1050 28.0656 11.9136 4.159e-15 3.448e-15 1.443e-15 400.6387 232.28
DG1195 14.8803 13.3716 9.468e-17 8.673e-17 3.494e-17 83.0264 1683.2
DG1196 14.9308 13.3567 1.603e-16 1.221e-16 5.987e-17 53.6896 1682.12
DG1197 14.9939 13.3611 1.669e-16 1.395e-16 6.031e-17 56.6237 1682.94
DG1198 14.9706 13.3307 1.659e-16 1.421e-16 6.251e-17 53.5774 1682.8
DG1199 14.9210 13.4454 1.710e-16 1.375e-16 5.839e-17 52.3839 1683.2
DG1200 14.8874 13.4314 1.276e-25 3.513e-27 1.778e-32 56.287 1682.1
DG1201 14.7940 13.2644 1.325e-25 3.523e-27 1.669e-32 68.898 1682.13
DG1213 36.6339 28.3591 4.449e-16 3.633e-16 1.383e-16 122.332 1630.6
DG1214 36.3390 28.2134 1.492e-16 1.273e-16 5.165e-17 44.8828 1628.99
DG1215 36.5286 28.4592 1.583e-16 1.204e-16 5.476e-17 47.3819 1632.64
DG1216 36.5414 27.9882 1.169e-16 9.083e-17 4.297e-17 57.5122 1629.05
DG1217 36.4467 28.1937 1.201e-25 3.387e-27 1.698e-32 59.5367 1632.21
DG1218 36.6794 28.5535 1.635e-16 1.208e-16 5.913e-17 50.0171 1630.93
DG1219 36.2891 28.2102 1.687e-16 1.456e-16 6.379e-17 49.5123 1632.09
DG1220 36.7312 28.1368 1.184e-25 3.033e-27 1.574e-32 50.922 1628.7
DG1221 36.5464 28.6068 1.892e-16 1.482e-16 6.397e-17 56.259 1630.49
DG1222 36.5344 28.3216 1.037e-16 8.794e-17 4.206e-17 96.8112 1632.49
DG1223 36.5958 28.6491 1.754e-16 1.479e-16 6.152e-17 57.786 1628.88
DG1224 36.3305 28.1495 1.625e-16 1.197e-16 5.729e-17 40.131 1630.41
DG1225 36.6438 28.5517 1.695e-16 1.312e-16 5.976e-17 45.6602 1631.19
DG1228 -0.3493 20.7976 5.252e-26 1.457e-27 6.501e-33 126.0945 691.52
DG1229 -0.3886 21.0070 9.076e-16 7.341e-16 3.229e-16 94.3556 691.43
DG1230 6.9380 -9.7819 4.489e-16 3.510e-16 1.542e-16 133.352 771.13
DG1231 -38.2811 15.3804 3.846e-15 2.813e-15 1.372e-15 992.7148 265.52
DG1232 -37.1873 15.8897 5.590e-15 4.267e-15 2.021e-15 359.5619 266.37
DG1233 -38.8822 16.8089 6.143e-15 5.070e-15 2.205e-15 381.3941 264.51
DG1234 -39.5812 14.5031 5.719e-15 4.716e-15 1.824e-15 325.717 264.66
DG1235 -38.1017 15.3618 6.798e-15 5.431e-15 2.266e-15 390.2137 265.38
