Name Equatorial Polar BlueF GreenF RedF Parallax RadialVelocity Variable?
S331984 173.5947 124.057 3.0539999999999996e-22 7.462999999999999e-22 3.446e-21 0.0 134.09 0.0
S331985 173.6557 124.0353 7.139e-21 1.3070000000000001e-20 3.3510000000000004e-20 0.0 133.33 0.0
S331986 173.6131 124.0193 6.564e-21 1.156e-20 2.6540000000000004e-20 0.0 135.19 0.0
S331987 173.6279 124.0007 2.341e-21 4.372e-21 1.1840000000000002e-20 0.0 135.7 0.0
S331988 173.6841 124.0522 7.38e-22 1.772e-21 7.609000000000001e-21 0.0 133.02 0.0
S331989 173.6395 124.05 1.01e-18 1.124e-18 1.017e-18 0.0 133.63 0.0
S331990 173.672 124.0672 1.314e-17 2.212e-17 4.728e-17 0.0 132.52 0.0
S331991 173.6806 124.039 3.497e-17 5.828e-17 1.228e-16 0.0 133.54 0.0
S331992 173.6639 123.9921 1.9290000000000002e-21 4.245e-21 1.5860000000000002e-20 0.0 134.89 0.0
S331993 173.7137 124.1311 4.528e-24 1.659e-23 1.8289999999999999e-22 0.0 132.14 0.0
S331994 173.6453 124.0716 1.0329999999999999e-22 2.583e-22 1.194e-21 0.0 133.19 0.0
S331995 173.7402 124.1796 1.509e-21 3.136e-21 1.066e-20 0.0 131.83 0.0
S331996 173.6633 124.0076 1.275e-20 2.091e-20 4.388e-20 0.0 134.85 0.0
S331997 173.7894 124.1287 4.114e-23 1.088e-22 5.685e-22 0.0 132.49 0.0
S331998 173.6479 123.9965 5.215e-19 6.318e-19 6.525e-19 0.0 135.35 0.0
S331999 173.6936 124.0682 4.7170000000000005e-20 7.243000000000001e-20 1.278e-19 0.0 132.7 0.0
S332000 173.6404 124.0383 2.765e-18 2.995e-18 2.541e-18 0.0 132.95 0.0
S332001 173.6723 124.1032 1.071e-23 3.702e-23 3.5309999999999997e-22 0.0 132.38 0.0
S332002 173.5089 123.8404 2.3790000000000003e-20 3.684e-20 6.468000000000001e-20 0.0 136.43 0.0
S332003 173.6253 124.0408 2.853e-21 5.648e-21 1.7650000000000002e-20 0.0 134.21 0.0
S332004 173.6412 123.9829 3.316e-21 6.704e-21 2.126e-20 0.0 135.92 0.0
S332005 173.6165 124.0345 7.846e-21 1.367e-20 3.1580000000000004e-20 0.0 134.66 0.0
S332006 173.5616 123.8093 2.3349999999999997e-22 5.328e-22 2.105e-21 0.0 136.27 0.0
S332007 173.6277 123.9523 1.137e-19 1.601e-19 2.314e-19 0.0 135.96 0.0
S332008 173.6828 124.0535 1.766e-12 1.4e-12 6.457e-13 0.0 132.87 1.0
S332009 173.6514 124.0584 6.032e-19 7.333e-19 7.605e-19 0.0 132.93 0.0
S332010 173.6717 124.1942 5.738e-21 9.823e-21 2.0960000000000002e-20 0.0 132.24 0.0
S332011 173.6578 124.0106 3.739e-18 3.848e-18 3.011e-18 0.0 134.99 0.0
S332012 173.6564 124.048 9.520999999999999e-23 2.701e-22 1.743e-21 0.0 133.12 0.0
S332013 173.5852 124.0229 1.718e-21 3.446e-21 1.078e-20 0.0 134.9 0.0
S332014 173.6421 124.0213 9.95e-22 2.047e-21 6.887e-21 0.0 135.22 0.0
S332015 173.6612 124.0373 2.5709999999999996e-22 5.691999999999999e-22 2.174e-21 0.0 133.56 0.0
S332016 173.5778 124.0526 4.9010000000000007e-20 7.037000000000001e-20 1.112e-19 0.0 134.31 0.0
S332017 173.6449 124.0517 1.718e-23 5.1589999999999996e-23 3.6259999999999996e-22 0.001 133.12 0.0
S332018 173.6708 124.0504 5.313000000000001e-25 2.477e-24 4.3729999999999997e-23 0.0 133.25 0.0
S332019 173.6485 124.0398 7.256e-13 5.215e-13 1.881e-13 0.0 132.95 0.0
S332020 173.6409 124.0255 5.934e-16 4.455e-16 1.851e-16 0.0 135.11 1.0
S332021 173.6931 124.0893 4.216e-24 1.633e-23 1.9459999999999997e-22 0.0 132.38 0.0
S332022 173.62 124.0283 5.055e-18 4.856e-18 3.258e-18 0.0 134.7 0.0
S332023 173.6473 124.0296 8.02e-20 1.128e-19 1.634e-19 0.0 135.38 0.0
S332024 173.7123 124.0593 5.399e-18 7.987e-18 1.288e-17 0.0 133.2 0.0
S332025 173.6237 123.9655 7.599e-18 7.489e-18 5.174e-18 0.0 136.1 0.0
S332026 173.6548 124.0473 1.149e-20 1.987e-20 4.464e-20 0.0 132.96 0.0
S332027 173.6472 124.0347 1.863e-18 2.131e-18 2.04e-18 0.0 134.28 0.0
S332028 173.6762 124.0319 6.093999999999999e-22 1.378e-21 5.437e-21 0.0 133.92 0.0
S332029 173.7563 124.0522 6.992e-23 1.9579999999999998e-22 1.224e-21 0.0 133.44 0.0
