Name X Y BlueF GreenF RedF Size RadialVelocity
DG0582 -32.0738 -10.0270 1.300e-16 1.015e-16 5.285e-17 41.7046 1714.33
DG0583 -32.4263 -10.0379 1.019e-16 7.650e-17 3.112e-17 53.4664 1713.27
DG0584 -32.1553 -10.3801 1.339e-25 4.133e-27 1.899e-32 57.7048 1716.45
DG0585 -32.2253 -10.1670 1.393e-16 1.054e-16 4.721e-17 43.8093 1716.05
DG0586 -32.4721 -10.0354 1.350e-16 1.330e-16 5.716e-17 57.261 1716.36
DG0587 -32.5970 -10.1524 9.419e-17 8.153e-17 3.686e-17 56.7908 1716.98
DG0588 -32.1115 -10.2356 1.453e-16 1.259e-16 5.243e-17 43.8233 1718.19
DG0589 -32.5895 -10.4966 1.255e-16 1.040e-16 5.455e-17 46.1746 1718.79
DG0590 -32.5336 -10.5309 1.225e-16 1.166e-16 4.476e-17 42.923 1715.92
DG0618 -14.9328 -27.1331 3.051e-16 2.439e-16 8.661e-17 147.3449 2036.1
DG0619 -15.0043 -27.0874 6.975e-17 6.331e-17 2.557e-17 77.8156 2036.81
DG0620 -14.7375 -26.9802 9.161e-17 8.874e-17 3.762e-17 32.8007 2032.32
DG0621 -14.9481 -27.4011 2.398e-25 6.738e-27 3.139e-32 40.7524 2034.39
DG0622 -14.8001 -27.1057 9.746e-17 8.149e-17 4.025e-17 36.8664 2034.24
DG0623 -14.7557 -27.0554 9.160e-17 7.893e-17 3.789e-17 36.191 2031.79
DG0624 -14.8037 -27.0304 1.501e-16 1.232e-16 4.817e-17 37.9037 2034.43
DG0625 -14.9578 -27.1275 2.391e-25 6.379e-27 3.441e-32 49.4815 2033.34
DG0626 -14.9245 -27.1413 6.178e-17 5.561e-17 2.683e-17 88.771 2034.41
DG0627 -14.9282 -26.8692 1.081e-16 9.841e-17 4.329e-17 48.1906 2032.12
DG0628 -15.1652 -27.1411 7.352e-17 6.208e-17 2.718e-17 48.6957 2031.94
DG0629 -15.1765 -27.2100 1.129e-16 9.020e-17 4.418e-17 39.4836 2033.35
DG0630 -14.8368 -27.4091 9.512e-17 7.826e-17 3.939e-17 35.4752 2035.83
DG0631 -14.8286 -26.8616 9.308e-17 9.057e-17 3.938e-17 36.8052 2033.33
DG0632 -14.9062 -27.2735 2.463e-25 6.688e-27 3.155e-32 48.1603 2034.38
DG0633 -14.9590 -27.2207 6.496e-17 6.012e-17 2.478e-17 79.5941 2033.98
DG0634 7.6815 30.3493 2.387e-15 1.855e-15 8.517e-16 208.0997 395.57
DG0635 7.1789 30.4465 7.198e-26 1.782e-27 8.118e-33 242.0706 395.62
DG0636 7.5378 30.5287 2.069e-15 1.638e-15 7.952e-16 170.129 395.38
DG0743 -3.2096 24.0494 3.966e-15 2.915e-15 1.330e-15 492.0414 277.2
DG0744 -2.6251 23.5521 5.807e-15 4.511e-15 2.087e-15 370.7513 276.42
DG0745 -3.0979 23.6953 5.698e-15 5.046e-15 1.886e-15 323.2832 276.54
DG0746 -3.0817 23.5049 5.751e-15 4.475e-15 1.919e-15 287.4726 277.92
DG0747 -3.2532 24.3832 1.229e-25 3.433e-27 1.498e-32 358.2743 277.74
DG0754 20.4376 14.0206 3.039e-16 2.643e-16 8.087e-17 103.3531 2004.45
DG0755 20.3796 13.8391 9.197e-17 8.362e-17 3.866e-17 35.4898 2005.64
DG0756 20.2504 13.9782 1.005e-16 8.127e-17 3.925e-17 41.3817 2005.33
DG0757 20.5379 14.1302 7.453e-17 6.880e-17 3.285e-17 72.801 2005.87
DG0758 20.3265 14.0560 6.957e-17 5.888e-17 2.584e-17 48.3711 2002.77
DG0759 20.6139 14.0930 2.249e-25 5.869e-27 3.426e-32 46.9565 2005.33
DG0760 20.4258 13.7853 1.106e-16 9.480e-17 4.633e-17 41.1695 2002.96
DG0761 20.3304 14.0738 9.753e-17 8.325e-17 3.716e-17 39.693 2005.55
DG0762 20.2545 14.1272 9.534e-17 8.123e-17 3.737e-17 35.6401 2009.89
DG0763 20.5065 14.0376 1.640e-16 1.195e-16 5.279e-17 38.1046 2005.78
DG0764 20.5736 14.2775 1.470e-16 1.109e-16 4.970e-17 37.9436 2009.11
DG0765 20.5817 14.2824 1.115e-16 9.325e-17 4.179e-17 37.2697 2004.74
DG0766 20.4252 13.8978 1.007e-16 8.505e-17 3.824e-17 38.4034 2006.65
DG0767 20.3823 14.1581 7.751e-17 6.464e-17 2.846e-17 45.0594 2009.89
DG0768 20.3928 14.1075 2.745e-25 6.391e-27 3.490e-32 46.3916 2007.37
DG0769 20.4392 14.0237 6.656e-17 5.690e-17 2.750e-17 78.932 2007.15
DG0770 20.5649 14.0894 1.538e-16 1.229e-16 5.231e-17 36.4785 2005.51
DG0771 20.5358 14.2634 1.138e-16 9.689e-17 4.351e-17 42.3517 2008.1
DG0803 0.8820 8.4006 4.436e-16 3.056e-16 1.131e-16 123.0489 1659.14
DG0804 0.6277 8.6320 1.375e-25 3.637e-27 1.736e-32 46.3118 1660.72
DG0805 0.9046 8.2756 1.393e-25 3.747e-27 1.748e-32 54.7659 1664.27
DG0806 0.9134 8.3102 1.439e-16 1.148e-16 5.172e-17 39.4346 1664.6
DG0807 0.8286 8.0670 1.378e-16 1.159e-16 4.731e-17 43.2695 1663.47
DG0808 0.9891 8.0464 9.985e-17 7.976e-17 3.554e-17 62.5139 1664.71
DG0809 1.3006 8.3309 1.466e-16 1.102e-16 5.135e-17 48.6419 1658.01
DG0810 0.7952 8.3877 9.671e-17 7.481e-17 3.479e-17 96.3998 1658.81
DG0811 0.9741 8.7906 1.363e-16 1.255e-16 5.150e-17 48.0612 1664.35
DG0812 0.6406 8.3430 1.344e-25 3.839e-27 1.914e-32 48.7505 1664.02
DG0813 0.8282 8.3219 1.340e-16 1.236e-16 5.687e-17 46.1235 1663.66
DG0814 0.4710 8.5491 2.052e-16 1.541e-16 6.945e-17 38.9604 1668.63
DG0815 0.9358 8.8589 1.354e-25 3.885e-27 1.720e-32 53.4949 1664.76
DG0816 0.9181 8.5431 9.907e-17 7.537e-17 4.022e-17 70.7016 1666.08
DG0817 0.7408 8.5796 1.040e-16 8.355e-17 3.823e-17 52.6347 1668.2
DG0818 0.8614 8.0876 1.159e-16 7.899e-17 3.998e-17 49.7493 1667.3
DG0819 0.9438 8.4210 1.354e-16 1.083e-16 5.017e-17 45.7037 1660.65
DG0820 1.0470 8.3743 1.504e-16 1.363e-16 6.397e-17 48.3932 1664.28
DG0821 1.2044 8.5623 1.474e-25 3.554e-27 1.891e-32 53.0014 1665.71
DG0822 0.8730 8.1835 1.505e-16 1.349e-16 6.484e-17 45.0892 1660.13
DG0823 0.7349 8.4243 1.136e-16 9.351e-17 4.415e-17 82.6876 1667.39
DG0824 0.8224 8.6720 1.354e-16 1.136e-16 5.262e-17 43.3196 1666.02
DG0825 0.8670 7.9475 1.388e-25 3.699e-27 1.875e-32 48.9188 1665.09
DG0826 0.8807 8.2395 2.163e-16 1.632e-16 7.154e-17 49.8949 1661.85
DG0827 0.5795 8.6081 1.237e-16 1.217e-16 4.836e-17 43.6238 1662.36
DG0828 1.1699 8.1825 2.169e-16 1.733e-16 7.643e-17 38.0601 1666.5
DG0829 1.0301 8.5296 1.566e-16 1.204e-16 6.074e-17 46.9052 1664.6
