Name X Y BlueF GreenF RedF Size RadialVelocity
DG0612 -5.5004 14.2608 5.190e-26 1.385e-27 7.004e-33 96.8546 727.55
DG0613 -5.5157 14.2069 6.147e-16 4.368e-16 2.021e-16 108.5817 728.34
DG0614 -5.2498 14.3213 5.446e-26 1.484e-27 6.696e-33 115.55 727.38
DG0615 -5.1318 13.9264 5.612e-16 4.669e-16 1.986e-16 83.4034 727.63
DG0616 -5.4687 14.0067 5.693e-16 4.507e-16 1.925e-16 97.7888 727.85
DG0617 -5.1965 14.0860 5.469e-16 4.154e-16 1.965e-16 87.2502 726.56
DG0650 28.0176 -3.6454 2.784e-16 2.237e-16 9.950e-17 111.464 952.13
DG0651 27.8555 -3.6652 4.207e-16 3.472e-16 1.534e-16 73.8214 953.05
DG0652 28.0552 -3.8028 5.505e-26 1.700e-27 7.019e-33 93.2614 951.86
DG0653 27.9716 -3.7389 3.896e-16 3.685e-16 1.687e-16 94.3942 951.67
DG0654 27.8196 -3.6527 4.006e-16 2.948e-16 1.317e-16 74.6328 952.31
DG0688 34.1579 -44.8551 7.429e-15 5.295e-15 2.375e-15 423.5023 224.33
DG0716 -13.3911 14.7816 4.250e-16 3.203e-16 1.211e-16 87.8005 1622.17
DG0717 -13.4000 15.0451 1.033e-16 8.027e-17 3.895e-17 74.2419 1621.75
DG0718 -13.2474 14.8627 2.213e-16 1.808e-16 6.977e-17 50.6071 1624.08
DG0719 -13.4003 14.9249 1.159e-16 9.630e-17 4.343e-17 95.1724 1623.28
DG0720 -13.7250 14.8972 1.477e-25 3.642e-27 1.635e-32 46.9095 1623.4
DG0721 -13.0481 14.7017 1.544e-16 1.348e-16 6.516e-17 51.8388 1624.41
DG0722 -13.6650 14.7125 1.310e-25 3.798e-27 1.766e-32 52.5594 1621.59
DG0723 -13.1880 15.1142 1.104e-16 9.001e-17 3.830e-17 48.1993 1623.66
DG0724 -13.2509 14.6035 1.479e-16 1.231e-16 5.422e-17 43.4993 1624.34
DG0725 -13.6528 14.9991 9.587e-17 8.343e-17 3.238e-17 64.1975 1625.12
DG0726 -12.9927 15.0028 1.450e-16 1.228e-16 5.233e-17 35.3238 1620.59
DG0727 -13.1738 14.9379 1.511e-16 1.376e-16 6.588e-17 48.9762 1623.53
DG0728 -13.1073 15.0826 9.045e-17 7.901e-17 4.116e-17 50.5021 1623.47
DG0729 -13.5949 14.9103 1.213e-25 3.601e-27 1.615e-32 55.0772 1623.64
DG0730 -13.0974 14.9415 9.865e-17 8.173e-17 3.796e-17 55.987 1622.83
DG0731 -13.1554 14.8996 1.322e-25 3.554e-27 1.551e-32 54.0757 1626.14
DG0732 -13.2359 15.0917 1.352e-16 1.151e-16 5.620e-17 43.2978 1620.74
DG0733 -13.2533 15.1436 1.358e-16 1.240e-16 5.530e-17 43.995 1623.82
DG0734 -13.3295 15.0913 1.486e-16 1.224e-16 5.420e-17 50.6969 1625.05
DG0735 -13.3377 14.8419 1.505e-16 1.141e-16 5.132e-17 45.0974 1621.91
DG0736 -13.2123 14.7687 1.010e-16 8.434e-17 4.110e-17 69.9117 1621.25
DG0737 -13.3296 15.0714 1.042e-16 7.768e-17 3.927e-17 64.849 1622.03
DG0738 -13.3834 14.5101 9.189e-17 7.905e-17 3.890e-17 61.152 1621.06
DG0739 -13.3963 14.4613 1.535e-16 1.174e-16 5.794e-17 43.6591 1623.4
DG0740 -13.4893 14.8899 1.487e-16 1.032e-16 5.178e-17 48.3861 1624.04
DG0741 -13.1166 14.7744 1.001e-16 9.094e-17 3.741e-17 67.0703 1623.12
DG0858 -9.5419 -42.5078 9.062e-17 7.863e-17 3.377e-17 86.1128 1695.2
DG0859 -9.5419 -42.5372 9.467e-17 8.148e-17 3.584e-17 49.224 1695.29
DG0860 -9.4942 -42.6044 1.392e-16 1.158e-16 4.965e-17 43.421 1695.92
DG0861 -9.6212 -42.3517 1.487e-16 1.184e-16 5.799e-17 57.338 1695.73
DG0862 -9.4760 -42.4308 1.617e-16 1.194e-16 5.766e-17 51.1207 1693.95
DG0863 -9.5122 -42.5370 1.434e-25 3.956e-27 2.053e-32 53.3336 1694.5
DG0864 -9.5178 -42.5086 1.391e-16 1.157e-16 4.817e-17 40.7322 1695.69
DG0881 4.6030 -5.1637 1.215e-16 9.487e-17 4.550e-17 66.0667 1430.72
DG0882 4.5169 -5.2335 1.930e-16 1.557e-16 6.274e-17 48.2934 1431.09
DG0883 4.6170 -5.1788 1.690e-16 1.555e-16 6.994e-17 50.5011 1430.95
DG0884 4.6262 -5.2499 1.834e-16 1.430e-16 6.720e-17 56.6222 1430.17
