Name X Y BlueF GreenF RedF Parallax RadialVelocity Variable?
S002253 -43.6353 -34.6597 2.136e-20 3.723e-20 8.559e-20 0.0 82.22 0.0
S002254 -43.5041 -34.5309 1.519e-22 3.877e-22 1.981e-21 0.0 79.72 0.0
S002255 -43.554 -34.5664 6.304e-26 3.447e-25 8.558e-24 0.0 79.78 0.0
S002256 -43.6349 -34.6397 1.956e-23 5.943e-23 4.349e-22 0.0 82.01 0.0
S002257 -43.6343 -34.6551 2.125e-20 3.517e-20 7.202e-20 0.0 82.59 0.0
S002258 -43.6461 -34.6456 1.218e-18 1.365e-18 1.207e-18 0.0 82.35 0.0
S002259 -43.6058 -34.5914 1.681e-24 6.619e-24 8.157e-23 0.0 80.07 0.0
S002260 -43.4133 -34.4972 4.704e-21 9.429e-21 2.787e-20 0.0 80.17 0.0
S002261 -43.5351 -34.5805 1.245e-12 1.020e-12 4.930e-13 0.0 80.4 1.0
S002262 -43.6862 -34.6978 1.719e-22 4.695e-22 2.718e-21 0.0 83.9 0.0
S002263 -43.5991 -34.5879 8.836e-21 1.549e-20 3.640e-20 0.0 80.84 0.0
S002264 -43.5776 -34.5872 1.427e-22 3.522e-22 1.662e-21 0.0 80.66 0.0
S002265 -43.522 -34.5517 4.776e-18 4.762e-18 3.576e-18 0.0 79.98 0.0
S002266 -43.3959 -34.4176 6.217e-19 7.821e-19 9.085e-19 0.0 79.57 0.0
S002267 -43.6129 -34.6173 1.175e-17 1.080e-17 6.416e-18 0.0 80.66 0.0
S002268 -43.6058 -34.6074 1.681e-22 3.798e-22 1.458e-21 0.0 80.2 0.0
S002269 -43.6312 -34.6581 3.432e-18 3.515e-18 2.668e-18 0.0 82.86 0.0
S002270 -43.6269 -34.6489 3.627e-23 1.039e-22 6.515e-22 0.0 81.97 0.0
S002271 -43.6321 -34.6425 4.178e-19 5.306e-19 6.152e-19 0.0 83.67 0.0
S002272 -43.5518 -34.5829 2.705e-21 4.873e-21 1.203e-20 0.0 79.95 0.0
S002273 -43.5898 -34.6838 1.517e-22 4.003e-22 2.201e-21 0.001 81.89 0.0
S002274 -43.7225 -34.7324 3.347e-17 2.835e-17 1.488e-17 0.0 83.87 1.0
S002275 -43.6209 -34.6346 1.766e-20 2.962e-20 6.209e-20 0.0 81.28 0.0
S002276 -43.6589 -34.6499 5.788e-22 1.224e-21 4.159e-21 0.0 82.95 0.0
S002277 -43.5875 -34.5909 1.747e-23 4.914e-23 2.972e-22 0.0 80.18 0.0
S002278 -43.6271 -34.6587 5.008e-18 5.016e-18 3.692e-18 0.0 82.09 0.0
S002279 -43.614 -34.6334 5.096e-19 6.469e-19 7.589e-19 0.0 81.23 0.0
S002280 -43.6371 -34.6411 3.204e-20 4.951e-20 9.105e-20 0.0 82.4 0.0
S002281 -43.5996 -34.6221 4.122e-20 5.982e-20 9.572e-20 0.0 80.4 0.0
S002282 -43.6296 -34.6442 2.553e-19 3.463e-19 4.721e-19 0.0 81.88 0.0
S002283 -43.6307 -34.6365 4.767e-19 5.660e-19 5.942e-19 0.0 80.51 0.0
S002284 -43.731 -34.7509 3.931e-22 9.180e-22 3.856e-21 0.0 83.74 0.0
S002285 -43.7088 -34.7035 3.232e-21 2.265e-21 7.898e-22 0.0 83.89 0.0
S002286 -43.6819 -34.6827 6.524e-18 6.529e-18 4.674e-18 0.0 83.63 0.0
S002287 -43.6211 -34.6515 9.649e-19 1.108e-18 1.082e-18 0.0 81.91 0.0
S002288 -43.6326 -34.6384 5.464e-22 1.358e-21 6.648e-21 0.0 81.6 1.0
S002289 -43.6253 -34.6303 7.512e-23 1.912e-22 9.875e-22 0.0 81.35 0.0
S002290 -43.5493 -34.5757 3.413e-21 6.674e-21 1.910e-20 0.0 80.28 0.0
S002291 -43.5876 -34.6151 1.355e-21 2.791e-21 9.180e-21 0.0 80.01 0.0
S002292 -43.7039 -34.7028 7.254e-17 1.806e-16 8.451e-16 0.0 83.74 1.0
S002293 -43.6166 -34.6287 6.767e-21 1.246e-20 3.273e-20 0.0 80.79 0.0
S002294 -43.6102 -34.6283 3.321e-25 1.713e-24 3.847e-23 0.0 80.88 0.0
S002295 -43.628 -34.6387 6.686e-19 8.645e-19 1.045e-18 0.0 81.55 0.0
S002296 -43.6061 -34.6308 8.200e-23 2.007e-22 9.458e-22 0.0 81.11 0.0
S002297 -43.6635 -34.6859 3.755e-22 7.964e-22 2.680e-21 0.0 83.41 0.0
S002298 -43.6285 -34.6676 2.850e-22 6.320e-22 2.436e-21 0.0 82.17 0.0
S002299 -43.5467 -34.5199 3.807e-26 2.198e-25 6.015e-24 0.0 80.47 0.0
S002300 -43.6368 -34.6487 6.699e-17 1.019e-16 1.693e-16 0.0 82.22 0.0
S002301 -43.5751 -34.6189 5.539e-22 1.311e-21 5.592e-21 0.0 81.22 0.0
S002302 -43.7456 -34.7823 1.402e-22 3.491e-22 1.703e-21 0.0 83.65 0.0
S002303 -43.6343 -34.6441 2.287e-19 3.201e-19 4.373e-19 0.0 83.31 0.0
S002304 -43.6353 -34.6416 2.852e-22 7.438e-22 3.827e-21 0.0 82.72 0.0
S002305 -43.6635 -34.6732 6.359e-25 2.963e-24 5.398e-23 0.0 83.25 0.0
S002306 -43.796 -34.7854 8.973e-20 1.311e-19 2.041e-19 0.0 83.96 0.0
S002307 -43.605 -34.6129 6.789e-18 6.681e-18 4.618e-18 0.0 80.31 0.0
S002308 -43.6141 -34.5849 2.509e-21 5.025e-21 1.532e-20 0.0 81.12 0.0
S002309 -43.6402 -34.6526 1.553e-22 4.020e-22 2.045e-21 0.0 82.75 0.0
S002310 -43.699 -34.6894 4.453e-20 6.808e-20 1.228e-19 0.0 83.01 0.0
S002311 -43.8158 -34.8003 5.953e-23 1.771e-22 1.245e-21 0.0 84.02 0.0
S002312 -43.68 -34.6747 3.021e-20 5.001e-20 1.055e-19 0.0 83.06 0.0
S002313 -43.6451 -34.6583 2.847e-22 7.039e-22 3.306e-21 0.0 83.04 0.0
S002314 -43.763 -34.7932 1.687e-18 1.779e-18 1.402e-18 0.0 83.91 0.0
S002315 -43.6296 -34.6494 2.800e-17 6.281e-17 2.491e-16 0.0 82.81 0.0
S002316 -43.5913 -34.6028 6.757e-20 1.023e-19 1.767e-19 0.0 80.13 0.0
S002317 -43.7729 -34.7524 9.517e-23 2.434e-22 1.248e-21 0.0 83.76 0.0
S002318 -43.6492 -34.6756 3.787e-20 6.233e-20 1.286e-19 0.0 82.6 0.0
S002319 -43.7097 -34.7067 4.167e-19 5.333e-19 6.397e-19 0.0 83.94 0.0
S002320 -43.6231 -34.6315 7.795e-23 2.027e-22 1.034e-21 0.0 81.15 0.0
S002321 -43.4257 -34.4442 2.859e-22 6.500e-22 2.683e-21 0.0 79.62 0.0
S002322 -43.681 -34.6819 1.249e-21 2.878e-21 1.162e-20 0.0 83.73 0.0
S002323 -43.4538 -34.5635 1.092e-21 2.279e-21 7.591e-21 0.0 81.1 0.0
S002324 -43.616 -34.6375 8.386e-18 8.390e-18 5.883e-18 0.0 80.64 0.0
S002325 -43.6366 -34.6399 3.517e-17 6.649e-17 1.802e-16 0.0 82.87 0.0
S002326 -43.7682 -34.766 1.226e-23 4.429e-23 4.578e-22 0.0 83.97 0.0
S002327 -43.6696 -34.68 2.239e-21 4.316e-21 1.223e-20 0.0 83.66 0.0
S002328 -43.6074 -34.6167 3.368e-25 1.664e-24 3.417e-23 0.001 80.86 0.0
S002329 -43.5399 -34.5403 1.416e-23 4.527e-23 3.652e-22 0.0 80.0 0.0
S002330 -43.6725 -34.6835 8.728e-24 2.761e-23 2.126e-22 0.0 83.39 0.0
S002331 -43.6208 -34.6184 6.101e-17 1.152e-16 3.185e-16 0.0 81.32 0.0
S002332 -43.5205 -34.5744 3.231e-21 6.182e-21 1.717e-20 0.0 80.61 0.0
S002333 -43.6182 -34.6329 1.219e-21 2.718e-21 1.035e-20 0.0 80.98 0.0
S002334 -43.6463 -34.6527 4.825e-23 1.337e-22 8.017e-22 0.0 83.08 0.0
S002335 -43.587 -34.6101 6.681e-23 1.820e-22 1.074e-21 0.0 80.36 0.0
S002336 -43.6107 -34.6341 2.944e-22 7.842e-22 4.358e-21 0.0 81.15 0.0
S002337 -43.6682 -34.6693 2.260e-22 5.575e-22 2.606e-21 0.0 83.46 0.0
S002338 -43.6206 -34.6214 5.022e-25 2.241e-24 3.597e-23 0.0 80.99 0.0
S002339 -43.6935 -34.6748 2.623e-17 5.141e-17 1.552e-16 0.0 82.89 0.0
S002340 -43.5944 -34.6105 2.450e-17 2.187e-17 1.263e-17 0.0 80.04 0.0
S002341 -43.849 -34.8453 5.890e-22 1.390e-21 5.889e-21 0.0 84.12 0.0
S002342 -43.6463 -34.6517 1.113e-18 1.281e-18 1.222e-18 0.0 82.96 0.0
S002343 -43.6541 -34.6552 3.418e-19 4.385e-19 5.493e-19 0.0 82.9 0.0
S002344 -43.6551 -34.6761 4.673e-19 5.807e-19 6.553e-19 0.0 83.13 0.0
S002345 -43.6676 -34.6564 1.895e-22 4.720e-22 2.322e-21 0.0 82.44 0.0
S002346 -43.6175 -34.6386 1.206e-16 2.864e-16 1.250e-15 0.0 81.41 1.0
S002347 -43.6542 -34.6731 4.288e-24 1.543e-23 1.567e-22 0.0 83.17 0.0
S002348 -43.5002 -34.5447 1.453e-12 1.127e-12 4.745e-13 0.0 79.93 1.0
S002349 -43.7555 -34.7457 9.734e-22 2.046e-21 7.092e-21 0.0 83.77 0.0
S002350 -43.6078 -34.5961 8.630e-23 2.250e-22 1.196e-21 0.0 81.32 0.0
S002351 -43.6039 -34.6284 1.337e-23 4.685e-23 4.371e-22 0.0 80.79 0.0
S002352 -43.6368 -34.6613 4.421e-17 3.783e-17 2.011e-17 0.0 82.31 0.0
S002353 -43.6745 -34.6835 3.710e-19 4.599e-19 5.204e-19 0.0 83.54 0.0
S002354 -43.7109 -34.7418 1.409e-24 5.798e-24 8.307e-23 0.0 83.47 0.0
S002355 -43.5833 -34.5991 1.743e-22 4.262e-22 1.979e-21 0.0 80.13 0.0
S002356 -43.5321 -34.608 6.830e-19 7.935e-19 7.931e-19 0.0 81.19 0.0
S002357 -43.6316 -34.6359 1.312e-17 1.223e-17 7.762e-18 0.0 81.32 0.0
S002358 -43.599 -34.6 3.292e-18 3.571e-18 2.927e-18 0.0 80.14 0.0
S002359 -43.6548 -34.6537 1.060e-18 1.236e-18 1.237e-18 0.0 82.79 0.0
S002360 -43.6313 -34.6367 1.605e-22 3.640e-22 1.462e-21 0.0 81.51 0.0
S002361 -43.745 -34.7783 1.064e-18 1.217e-18 1.113e-18 0.0 83.56 0.0
S002362 -43.6294 -34.6418 2.381e-21 4.982e-21 1.708e-20 0.0 81.75 0.0
S002363 -43.6923 -34.6849 2.262e-19 2.916e-19 3.510e-19 0.0 83.59 0.0
S002364 -43.6397 -34.6337 1.049e-17 1.001e-17 6.861e-18 0.0 81.81 0.0
S002365 -43.6092 -34.6072 1.691e-26 1.035e-25 3.306e-24 0.0 80.41 0.0
S002366 -43.6992 -34.7163 3.116e-17 2.766e-17 1.576e-17 0.0 83.54 0.0
S002367 -43.6152 -34.6243 7.688e-19 9.185e-19 9.795e-19 0.0 80.87 0.0
S002368 -43.7091 -34.6894 7.585e-19 9.225e-19 1.022e-18 0.0 82.88 0.0
S002369 -43.4942 -34.4757 3.318e-22 8.022e-22 3.708e-21 0.0 79.99 0.0
S002370 -43.6543 -34.6499 8.256e-18 1.363e-17 2.742e-17 0.0 82.61 0.0
S002371 -43.6548 -34.6574 2.404e-22 5.341e-22 2.090e-21 0.0 83.15 0.0
S002372 -43.5902 -34.5779 7.980e-23 1.961e-22 9.295e-22 0.0 80.74 0.0
S002373 -43.5215 -34.5167 7.949e-23 2.127e-22 1.198e-21 0.0 79.78 0.0
S002374 -43.3636 -34.3593 3.685e-19 4.755e-19 5.742e-19 0.0 79.49 0.0
S002375 -44.1483 -35.192 7.901e-23 1.998e-22 9.502e-22 0.0 83.8 0.0
S002376 -43.5132 -34.5411 1.197e-18 1.373e-18 1.271e-18 0.0 79.9 0.0
S002377 -43.6775 -34.62 2.921e-21 2.033e-21 7.297e-22 0.0 81.91 0.0
S002378 -43.6088 -34.625 3.743e-17 3.133e-17 1.560e-17 0.0 80.71 0.0
S002379 -43.6263 -34.6324 7.904e-24 2.912e-23 3.245e-22 0.0 81.13 0.0
S002380 -43.6461 -34.6611 1.028e-16 8.584e-17 4.256e-17 0.0 82.72 0.0
S002381 -43.5102 -34.5247 1.268e-22 3.233e-22 1.607e-21 0.0 79.72 0.0
S002382 -43.6031 -34.6175 2.225e-19 2.939e-19 3.921e-19 0.0 80.7 0.0
S002383 -43.6236 -34.6438 2.696e-20 4.319e-20 8.399e-20 0.0 81.28 0.0
S002384 -43.7472 -34.7435 6.941e-28 6.379e-27 4.659e-25 0.0 83.97 0.0
S002385 -43.6333 -34.657 1.211e-22 2.952e-22 1.368e-21 0.0 82.76 0.0
S002386 -43.6732 -34.7005 2.052e-19 2.915e-19 4.218e-19 0.0 83.36 0.0
S002387 -43.6493 -34.6679 1.514e-18 1.723e-18 1.592e-18 0.0 83.19 0.0
S002388 -43.635 -34.6496 1.448e-22 3.615e-22 1.783e-21 0.0 82.42 0.0
S002389 -43.6418 -34.64 6.316e-24 2.044e-23 1.672e-22 0.0 82.06 0.0
S002390 -43.6229 -34.6412 8.774e-22 1.984e-21 7.720e-21 0.001 81.65 0.0
S002391 -43.8853 -34.9402 1.177e-17 1.890e-17 3.682e-17 0.0 83.6 0.0
S002392 -43.6754 -34.7533 6.251e-21 1.140e-20 2.856e-20 0.0 82.62 0.0
S002393 -43.619 -34.6766 5.032e-19 6.209e-19 7.189e-19 0.0 82.02 0.0
S002394 -43.6438 -34.6581 2.839e-13 1.889e-13 6.145e-14 0.0 82.82 0.0
S002395 -43.5979 -34.5952 1.200e-21 2.610e-21 9.343e-21 0.0 80.3 0.0
S002396 -43.5957 -34.5854 4.484e-18 9.995e-18 3.789e-17 0.0 80.55 0.0
S002397 -43.5641 -34.603 8.493e-23 2.158e-22 1.043e-21 0.001 80.36 0.0
S002398 -43.4794 -34.5165 1.415e-18 1.643e-18 1.559e-18 0.0 79.95 0.0
S002399 -43.5143 -34.5356 3.445e-22 7.302e-22 2.485e-21 0.0 79.93 0.0
S002400 -43.722 -34.8321 3.781e-25 1.626e-24 2.525e-23 0.0 82.57 0.0
S002401 -43.6089 -34.6378 1.254e-21 2.636e-21 9.188e-21 0.0 80.6 0.0
S002402 -43.6282 -34.6449 8.946e-18 8.846e-18 6.313e-18 0.0 83.14 0.0
S002403 -43.7122 -34.7041 6.275e-19 7.826e-19 8.904e-19 0.0 83.89 0.0
S002404 -43.4056 -34.4182 1.176e-17 2.382e-17 7.461e-17 0.0 79.54 0.0
