Name X Y BlueF GreenF RedF Size RadialVelocity
DG0880 26.5463 26.9570 8.795e-16 7.384e-16 3.261e-16 181.3154 544.58
DG0956 -6.1810 20.9711 3.144e-16 2.329e-16 9.811e-17 51.5322 1321.08
DG0957 -6.2044 20.8208 1.453e-16 1.121e-16 5.152e-17 84.5315 1320.15
DG0958 -6.2744 20.9025 2.075e-16 1.858e-16 7.785e-17 47.6081 1320.84
DG0959 3.2798 26.9864 2.248e-15 1.622e-15 7.418e-16 191.7064 412.99
DG0960 3.2008 26.8798 6.847e-26 2.063e-27 9.513e-33 198.2441 413.22
DG0966 26.6333 36.6958 1.664e-16 1.413e-16 6.574e-17 46.876 1456.88
DG0967 26.6184 36.7578 1.917e-16 1.513e-16 7.538e-17 48.9322 1457.05
DG0989 -21.9977 7.1761 3.512e-15 2.863e-15 1.325e-15 558.3135 260.19
DG0990 -21.7008 7.4194 5.852e-15 4.928e-15 1.887e-15 356.4621 260.58
DG0991 -21.6927 6.8457 1.198e-25 3.076e-27 1.239e-32 303.4261 260.67
DG0992 -21.6457 6.4214 5.661e-15 4.785e-15 2.165e-15 339.6969 261.25
DG0993 -22.0627 6.7656 5.491e-15 4.456e-15 1.799e-15 383.0044 261.99
DG0994 -22.2311 6.4377 5.069e-15 4.207e-15 1.704e-15 309.1035 259.46
DG0995 -21.7756 7.4724 4.967e-15 4.398e-15 1.764e-15 307.9719 259.95
DG0996 6.9315 -20.1275 5.830e-16 4.074e-16 1.545e-16 83.918 1437.58
DG0997 6.7180 -20.2204 1.876e-16 1.651e-16 7.165e-17 51.7387 1439.77
DG0998 7.0268 -20.1692 1.208e-16 9.734e-17 4.314e-17 73.0809 1440.64
DG0999 7.1461 -20.5514 1.815e-16 1.407e-16 6.830e-17 51.219 1435.2
DG1000 7.0597 -19.6737 2.072e-16 1.799e-16 8.208e-17 62.7271 1434.36
DG1001 7.2072 -19.8422 1.032e-25 2.550e-27 1.277e-32 68.9472 1435.58
DG1002 6.8490 -20.2035 2.162e-16 1.742e-16 7.845e-17 64.9394 1435.37
DG1003 7.0389 -20.6420 2.323e-16 1.690e-16 8.002e-17 55.3716 1433.37
DG1004 6.6875 -19.8529 9.697e-26 2.558e-27 1.115e-32 61.431 1432.44
DG1005 6.9227 -19.8937 1.264e-16 1.085e-16 4.678e-17 73.9807 1436.46
DG1006 6.6873 -20.0298 1.960e-16 1.503e-16 7.455e-17 49.7402 1437.88
DG1007 6.7328 -19.9322 1.880e-16 1.517e-16 6.725e-17 53.2487 1436.69
DG1008 6.5744 -20.0293 2.586e-16 2.187e-16 9.232e-17 58.803 1432.78
DG1009 7.2254 -20.0333 1.798e-16 1.568e-16 6.956e-17 51.0851 1436.17
DG1010 7.2109 -19.8922 1.823e-16 1.476e-16 8.003e-17 51.0765 1435.76
DG1011 6.5882 -20.1589 1.739e-16 1.539e-16 6.981e-17 58.0988 1436.21
DG1012 6.7756 -19.9925 1.407e-16 1.125e-16 5.182e-17 60.6282 1440.22
DG1013 6.9804 -20.2614 1.973e-16 1.785e-16 8.581e-17 50.5658 1432.72
DG1014 6.9303 -20.4202 1.889e-16 1.542e-16 6.763e-17 53.8357 1437.99
DG1015 6.8121 -20.1484 1.391e-16 1.160e-16 5.192e-17 114.3884 1441.57
DG1016 6.7403 -19.8745 1.733e-16 1.459e-16 7.135e-17 47.3344 1437.22
DG1017 6.6255 -20.1525 9.081e-26 2.701e-27 1.288e-32 69.7425 1431.73
DG1018 7.3556 -20.4567 1.434e-16 1.045e-16 5.134e-17 58.1704 1437.19
DG1132 -2.3342 -12.3744 2.786e-15 1.995e-15 8.423e-16 559.5541 299.96
DG1133 -1.8716 -12.2894 3.718e-15 3.246e-15 1.377e-15 270.3845 296.29
DG1134 -2.2355 -11.8982 3.531e-15 3.386e-15 1.448e-15 248.7582 298.41
DG1135 -1.5699 -12.3689 4.235e-15 3.263e-15 1.535e-15 316.8349 300.43
DG1136 -3.0893 -12.6481 3.672e-15 3.143e-15 1.152e-15 266.7009 299.69
DG1137 -2.9206 -11.9187 4.439e-15 3.070e-15 1.519e-15 294.8399 297.5
DG1138 -2.5187 -12.5188 4.796e-15 4.554e-15 1.508e-15 253.8023 295.97
