Name X Y BlueF GreenF RedF Parallax RadialVelocity Variable?
S004240 43.5799 19.6884 5.682e-20 8.523e-20 1.403e-19 0.0 104.92 0.0
S004241 43.6516 19.6884 2.729e-19 3.443e-19 4.100e-19 0.0 105.08 0.0
S004242 43.6276 19.6562 3.179e-22 8.440e-22 4.630e-21 0.0 104.48 0.0
S004243 43.6022 19.6601 4.193e-18 4.540e-18 3.749e-18 0.0 105.13 0.0
S004244 43.5905 19.6711 1.797e-17 2.988e-17 6.054e-17 0.0 108.43 0.0
S004245 43.6833 19.7165 1.281e-12 9.913e-13 4.442e-13 0.0 108.21 1.0
S004246 43.6053 19.6935 1.492e-17 2.464e-17 5.014e-17 0.0 106.29 0.0
S004247 43.6587 19.6881 8.815e-19 1.049e-18 1.089e-18 0.0 108.3 0.0
S004248 43.5648 19.6556 6.724e-17 5.349e-17 2.499e-17 0.0 108.79 0.0
S004249 43.578 19.7244 1.331e-17 1.277e-17 8.856e-18 0.0 107.59 0.0
S004250 43.6926 19.715 7.809e-22 1.661e-21 5.780e-21 0.0 104.73 0.0
S004251 43.604 19.6558 3.967e-21 2.738e-21 9.473e-22 0.0 107.06 0.0
S004252 43.6308 19.6647 9.970e-24 3.006e-23 2.129e-22 0.0 104.78 0.0
S004253 43.6357 19.7429 1.343e-22 3.578e-22 1.967e-21 0.0 105.47 0.0
S004254 43.6466 19.6874 8.752e-17 7.069e-17 3.284e-17 0.001 107.42 1.0
S004255 43.665 19.7214 1.643e-22 4.112e-22 1.939e-21 0.0 106.78 0.0
S004256 43.6488 19.6832 1.543e-20 2.478e-20 4.768e-20 0.0 107.53 0.0
S004257 43.5755 19.6918 1.102e-17 1.010e-17 6.278e-18 0.0 104.57 0.0
S004258 43.6792 19.7047 6.357e-17 5.305e-17 2.688e-17 0.0 105.17 0.0
S004259 43.563 19.6684 9.268e-25 4.299e-24 7.710e-23 0.0 106.77 0.0
S004260 43.62 19.6685 2.869e-17 4.585e-17 8.959e-17 0.0 105.44 0.0
S004261 43.6503 19.7388 3.590e-24 1.198e-23 1.065e-22 0.0 104.18 0.0
S004262 43.6155 19.7105 2.716e-17 2.453e-17 1.459e-17 0.0 105.57 0.0
S004263 43.5699 19.7104 8.908e-23 2.576e-22 1.681e-21 0.0 106.82 0.0
S004264 43.6228 19.6683 3.410e-21 6.771e-21 2.044e-20 0.0 107.33 0.0
S004265 43.657 19.6931 2.903e-16 2.181e-16 8.923e-17 0.0 108.03 1.0
S004266 43.62 19.6799 1.253e-16 1.033e-16 5.194e-17 0.0 106.11 0.0
S004267 43.6713 19.706 6.454e-20 9.238e-20 1.354e-19 0.0 108.38 0.0
S004268 43.5807 19.6652 5.631e-18 1.148e-17 3.591e-17 0.0 106.18 0.0
S004269 43.6264 19.7353 3.378e-18 3.668e-18 3.136e-18 0.0 106.11 0.0
S004270 43.6455 19.6639 2.372e-17 3.800e-17 7.107e-17 0.0 106.0 0.0
S004271 43.6038 19.6805 6.047e-22 1.434e-21 6.351e-21 0.0 105.35 0.0
S004272 43.651 19.714 6.549e-19 7.629e-19 7.789e-19 0.0 107.68 0.0
S004273 43.5992 19.7029 1.244e-18 1.487e-18 1.559e-18 0.0 107.55 0.0
S004274 43.6487 19.662 3.147e-22 7.706e-22 3.715e-21 0.0 104.78 0.0
S004275 43.6721 19.685 7.626e-13 5.275e-13 1.879e-13 0.0 105.84 0.0
S004276 43.645 19.7237 2.821e-17 3.953e-17 5.842e-17 0.0 108.17 0.0
S004277 43.6306 19.7348 1.552e-20 2.580e-20 5.401e-20 0.0 108.89 0.0
S004278 43.6476 19.7202 2.447e-18 2.743e-18 2.507e-18 0.0 104.84 0.0
S004279 43.6208 19.678 1.468e-23 4.415e-23 3.141e-22 0.0 104.95 0.0
S004280 43.6101 19.7255 6.403e-19 7.851e-19 8.821e-19 0.0 105.47 0.0
S004281 43.6028 19.6609 1.268e-16 3.004e-16 1.300e-15 0.0 105.12 1.0
S004282 43.6316 19.6666 6.516e-21 1.173e-20 2.981e-20 0.0 107.91 0.0
S004283 43.5976 19.6844 4.428e-18 4.650e-18 3.711e-18 0.0 105.68 0.0
S004284 43.6464 19.7004 1.388e-13 9.298e-14 2.945e-14 0.0 105.93 0.0
S004285 43.6779 19.7058 4.922e-24 1.556e-23 1.272e-22 0.0 107.55 0.0
S004286 43.6132 19.6778 5.108e-19 5.968e-19 6.181e-19 0.001 105.63 0.0
S004287 43.6313 19.6867 3.114e-21 2.173e-21 7.771e-22 0.0 107.85 0.0
S004288 43.5854 19.6929 8.535e-22 1.794e-21 6.113e-21 0.0 107.28 0.0
S004289 43.5583 19.6621 4.547e-19 5.752e-19 6.823e-19 0.0 108.09 0.0
S004290 43.6349 19.7163 2.131e-17 1.944e-17 1.161e-17 0.0 104.53 0.0
S004291 43.6324 19.6789 1.105e-17 1.035e-17 6.502e-18 0.0 106.16 0.0
S004292 43.5911 19.6743 9.405e-21 1.616e-20 3.638e-20 0.0 107.31 0.0
S004293 43.6535 19.6925 6.360e-19 7.828e-19 8.853e-19 0.0 105.05 0.0
S004294 43.6725 19.6788 4.226e-20 6.523e-20 1.157e-19 0.0 105.76 0.0
S004295 43.6306 19.6701 7.813e-17 1.547e-16 4.590e-16 0.0 105.78 0.0
S004296 43.6708 19.6599 6.918e-13 4.861e-13 1.761e-13 0.0 106.16 0.0
S004297 43.6038 19.6757 1.829e-17 3.852e-17 1.300e-16 0.0 107.61 0.0
S004298 43.6374 19.6921 9.472e-17 1.691e-16 4.188e-16 0.0 108.41 0.0
S004299 43.5691 19.6972 6.821e-23 1.873e-22 1.106e-21 0.0 108.38 0.0
S004300 43.5719 19.6943 1.654e-23 4.916e-23 3.491e-22 0.0 108.2 0.0
S004301 43.6349 19.7382 3.879e-17 3.432e-17 1.971e-17 0.0 104.7 0.0
S004302 43.6329 19.6775 4.030e-20 6.578e-20 1.313e-19 0.001 107.16 0.0
S004303 43.6265 19.7074 5.968e-20 1.000e-19 2.119e-19 0.0 108.35 0.0
S004304 43.5797 19.6409 4.440e-13 2.996e-13 9.678e-14 0.0 104.99 0.0
S004305 43.5816 19.6625 5.203e-17 8.054e-17 1.429e-16 0.0 107.49 0.0
S004306 43.6471 19.7365 2.218e-22 5.167e-22 2.239e-21 0.0 108.18 0.0
S004307 43.5662 19.687 5.812e-20 8.800e-20 1.545e-19 0.0 105.91 0.0
S004308 43.6136 19.6722 3.244e-17 4.562e-17 6.945e-17 0.0 106.34 0.0
S004309 43.6289 19.698 2.483e-19 3.294e-19 4.381e-19 0.0 106.0 0.0
S004310 43.5981 19.6321 6.579e-18 1.189e-17 2.888e-17 0.0 106.33 0.0
S004311 43.6112 19.7177 4.585e-17 3.987e-17 2.118e-17 0.0 107.6 0.0
