Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG0096 160.4474 103.3199 1.607e-16 1.258e-16 6.386e-17 55.9364 1605.61
DG0097 160.4743 103.3268 1.477e-16 1.160e-16 4.996e-17 47.1341 1607.02
DG0098 161.9095 46.0426 4.315e-15 3.766e-15 1.517e-15 851.1339 203.45
DG0099 161.8456 45.9141 7.304e-15 6.317e-15 2.659e-15 394.4129 202.23
DG0100 162.0685 45.0276 1.540e-25 3.891e-27 1.719e-32 425.9216 204.26
DG0101 162.0097 45.0782 1.463e-25 3.779e-27 1.709e-32 431.2641 203.83
DG0102 162.4403 45.8993 1.376e-25 3.694e-27 1.853e-32 454.691 204.79
DG0103 163.5908 45.1604 1.490e-25 4.062e-27 1.892e-32 464.5079 205.57
DG0104 163.0048 46.5866 8.291e-15 6.739e-15 3.022e-15 366.1794 205.37
DG0105 160.8849 44.9225 7.497e-15 6.226e-15 2.743e-15 399.5762 205.39
DG0106 162.8764 45.1369 7.790e-15 5.686e-15 2.483e-15 408.2408 203.92
DG0107 142.8180 56.8419 7.709e-26 1.767e-27 8.476e-33 228.8261 412.87
DG0108 143.2951 56.9914 1.546e-15 1.256e-15 5.116e-16 218.6926 412.29
DG0109 143.0869 56.6278 2.116e-15 1.664e-15 6.580e-16 152.4482 413.12
DG0110 143.1094 56.6913 2.078e-15 1.900e-15 8.181e-16 179.088 413.03
DG0111 359.5563 166.0544 3.611e-16 3.259e-16 9.521e-17 114.329 1731.71
DG0112 358.9060 165.9411 1.544e-25 4.339e-27 2.032e-32 45.8422 1731.47
DG0113 359.6430 165.9495 1.201e-16 1.091e-16 4.992e-17 43.4404 1732.15
DG0114 359.2474 166.0338 1.300e-16 1.141e-16 4.800e-17 45.5544 1731.15
DG0115 359.1210 166.0526 1.349e-16 9.724e-17 4.025e-17 46.6793 1731.55
DG0116 359.4305 165.9039 1.611e-25 4.419e-27 2.125e-32 48.2246 1732.01
DG0117 359.5048 165.8864 9.242e-17 7.900e-17 3.362e-17 56.9543 1730.68
DG0118 0.1243 165.9991 1.343e-16 9.904e-17 5.045e-17 42.355 1731.76
DG0119 359.5241 165.9634 1.323e-16 9.642e-17 4.550e-17 41.2764 1731.15
DG0120 359.3725 165.9649 1.395e-16 1.181e-16 5.390e-17 39.0202 1732.45
DG0121 291.9380 140.3128 1.612e-15 1.110e-15 3.736e-16 227.9252 772.67
DG0122 292.8032 140.0109 4.175e-16 3.374e-16 1.448e-16 105.3902 772.89
DG0123 291.2543 140.0806 5.651e-16 4.187e-16 1.797e-16 107.7875 773.69
DG0124 292.0925 140.4728 4.010e-16 3.341e-16 1.501e-16 230.8518 772.18
DG0125 291.4456 140.6485 3.867e-16 3.476e-16 1.470e-16 146.248 773.67
DG0126 291.9968 139.6541 5.101e-16 4.414e-16 2.012e-16 100.8937 778.29
DG0127 292.0770 139.6921 3.889e-16 3.019e-16 1.416e-16 118.6943 774.77
DG0128 292.8362 140.0878 5.392e-26 1.311e-27 7.164e-33 119.0679 772.78
DG0129 292.7193 140.2117 5.710e-16 4.198e-16 1.904e-16 90.966 773.05
DG0130 290.9781 140.6618 5.134e-16 4.327e-16 1.907e-16 89.749 777.88
DG0131 291.2273 140.3448 5.450e-26 1.363e-27 7.271e-33 126.5687 772.21
DG0132 291.2387 139.7860 5.417e-16 4.222e-16 2.005e-16 105.2607 776.03
DG0133 291.9761 141.1495 5.700e-16 4.592e-16 1.847e-16 86.4138 772.33
DG0134 291.1685 140.7856 5.297e-16 4.553e-16 2.006e-16 97.372 774.68
DG0135 291.7253 140.8811 8.028e-16 6.700e-16 2.442e-16 101.9834 771.26
DG0136 292.2137 139.6516 5.978e-26 1.522e-27 7.156e-33 110.1109 771.8
DG0137 292.1092 140.3266 5.543e-16 5.045e-16 2.199e-16 98.4777 778.03
DG0138 292.6422 140.0314 5.047e-16 4.902e-16 1.889e-16 89.5053 775.37
DG0139 292.1165 140.8642 5.882e-16 4.567e-16 1.950e-16 103.0227 773.57
DG0140 292.1013 140.0093 3.707e-16 3.086e-16 1.431e-16 161.4401 772.03
DG0141 292.6959 140.3241 6.148e-16 5.147e-16 2.155e-16 109.626 773.05
DG0142 292.8642 140.0706 6.115e-16 5.311e-16 2.265e-16 114.8191 773.43
DG0143 193.0860 101.6533 8.832e-17 7.866e-17 3.600e-17 42.2272 1756.5
DG0144 81.2673 119.6683 3.661e-16 2.921e-16 9.631e-17 98.533 1786.3
DG0145 81.2888 119.8602 1.221e-16 1.043e-16 4.736e-17 44.905 1785.02
DG0146 81.3560 119.6289 1.265e-16 9.930e-17 4.644e-17 43.8993 1786.82
DG0147 81.2718 119.8417 1.756e-25 4.905e-27 2.409e-32 53.5592 1786.24
DG0148 81.2235 119.4762 9.222e-17 7.364e-17 3.364e-17 55.1688 1784.82
DG0149 81.2009 119.8382 1.355e-16 1.118e-16 5.264e-17 47.1355 1785.54
DG0150 81.2925 119.4637 1.838e-16 1.576e-16 6.422e-17 51.8099 1784.71
DG0151 81.1526 119.7641 1.834e-25 4.812e-27 2.309e-32 49.3559 1785.13
DG0152 81.4523 119.6254 1.212e-16 1.008e-16 4.391e-17 43.3477 1787.4
DG0153 81.2877 119.8092 1.738e-25 4.926e-27 2.149e-32 41.5002 1784.88
DG0154 81.4593 119.5342 1.127e-16 1.056e-16 4.822e-17 42.8924 1786.79
DG0155 140.1378 64.5148 1.121e-15 8.524e-16 2.848e-16 205.6899 1003.47
DG0156 139.6784 64.5228 3.838e-16 3.095e-16 1.285e-16 67.9865 1002.75
DG0157 140.3023 64.5817 5.365e-16 4.235e-16 1.663e-16 88.5415 1002.36
DG0158 140.0190 65.0543 6.199e-26 1.543e-27 7.109e-33 77.8714 1002.96
DG0159 140.2800 64.8543 3.665e-16 2.985e-16 1.227e-16 69.6941 1001.06
DG0160 140.4150 64.6145 5.979e-26 1.693e-27 7.863e-33 99.7186 998.82
DG0161 140.0887 64.1838 6.815e-26 1.615e-27 7.520e-33 87.0928 998.69
DG0162 140.4333 64.8333 3.811e-16 2.955e-16 1.410e-16 73.6533 999.19
DG0163 140.4235 64.2620 4.035e-16 3.523e-16 1.579e-16 94.9491 1002.5
DG0164 139.9477 64.2227 3.581e-16 2.953e-16 1.423e-16 80.4321 998.24
DG0165 140.0627 64.8649 4.217e-16 3.254e-16 1.377e-16 90.7068 1002.29
DG0166 140.4712 64.4951 4.084e-16 2.912e-16 1.331e-16 78.44 999.29
DG0167 140.4727 64.2089 4.159e-16 3.390e-16 1.634e-16 78.8818 1001.7
DG0168 139.7437 64.3733 3.735e-16 3.369e-16 1.452e-16 85.248 1002.87
DG0169 114.9628 131.6511 5.884e-15 4.592e-15 2.153e-15 304.804 243.22
DG0170 114.5000 131.4340 6.178e-15 4.885e-15 1.879e-15 326.07 243.17
DG0171 114.4798 131.7945 4.195e-15 3.319e-15 1.425e-15 491.5071 243.19
DG0172 84.9594 112.8781 1.092e-16 8.978e-17 4.269e-17 55.7123 1639.31
DG0173 104.8752 71.7234 1.099e-16 9.336e-17 4.436e-17 84.0175 1692.8
DG0174 104.9609 71.7268 1.482e-16 1.233e-16 5.558e-17 51.5603 1691.45
DG0175 104.8159 71.6832 1.232e-25 3.646e-27 1.739e-32 58.5475 1692.41
DG0176 104.8205 71.5944 1.490e-16 1.069e-16 5.079e-17 47.6384 1692.31
DG0177 104.8374 71.6283 1.356e-25 3.365e-27 1.731e-32 49.7522 1692.63
DG0178 104.9418 71.7371 1.478e-16 1.140e-16 5.676e-17 42.9105 1691.44
DG0179 323.5242 80.1788 5.301e-16 3.835e-16 1.423e-16 138.552 1468.86
DG0180 323.4712 80.0120 1.756e-16 1.460e-16 6.973e-17 57.8274 1474.1
DG0181 323.3763 80.2556 1.733e-16 1.539e-16 6.131e-17 48.8976 1474.4
DG0182 323.8246 80.3565 1.966e-16 1.701e-16 7.277e-17 53.6833 1469.34
DG0183 323.3642 79.9565 1.592e-16 1.329e-16 6.630e-17 55.2429 1473.05
DG0184 323.4766 80.0460 1.738e-16 1.324e-16 7.021e-17 47.6564 1472.27
DG0185 323.6447 80.1353 2.731e-16 2.265e-16 9.257e-17 60.3277 1473.81
DG0186 323.5294 80.2322 1.695e-16 1.310e-16 5.910e-17 59.9917 1470.19
DG0187 323.3940 80.2380 1.027e-25 2.407e-27 1.295e-32 67.5606 1472.66
DG0188 323.5079 80.2721 1.266e-16 1.064e-16 5.246e-17 51.7635 1472.02
DG0189 323.2312 80.2307 1.007e-25 2.582e-27 1.186e-32 57.6981 1470.68
DG0190 323.4516 80.0335 1.816e-16 1.375e-16 7.496e-17 53.4106 1473.88
DG0191 323.5126 80.1879 1.756e-16 1.567e-16 6.355e-17 41.6435 1474.54
DG0192 116.6283 105.0255 6.376e-17 6.061e-17 2.771e-17 47.7629 2090.21
DG0193 148.6526 62.9973 2.514e-14 1.982e-14 6.676e-15 1102.6198 163.82
DG0194 153.4913 62.4762 9.402e-15 8.174e-15 3.482e-15 425.548 165.8
DG0195 146.7104 60.6022 1.080e-14 8.641e-15 3.994e-15 427.1348 169.28
DG0196 149.6013 61.1287 8.195e-15 6.369e-15 2.698e-15 921.296 170.0
DG0197 145.6899 66.6930 1.005e-14 8.865e-15 3.962e-15 447.4152 165.75
DG0198 147.0905 67.2791 1.723e-25 4.775e-27 2.229e-32 447.027 169.04
DG0199 147.1205 61.3291 6.465e-15 5.282e-15 2.369e-15 696.1805 163.5
DG0200 151.0440 59.9581 1.110e-14 8.285e-15 3.675e-15 461.6391 170.75
DG0201 148.6438 63.4971 2.093e-25 5.492e-27 2.590e-32 506.1599 163.96
DG0202 153.5119 65.3684 7.556e-15 6.052e-15 2.698e-15 490.6812 170.61
DG0203 147.7011 65.2213 8.534e-15 6.792e-15 2.762e-15 396.7947 170.7
DG0204 146.1145 65.0868 1.032e-14 8.422e-15 3.946e-15 490.7444 164.08
DG0205 154.2999 61.7634 7.506e-15 5.891e-15 2.552e-15 492.4583 171.36
DG0206 148.6555 65.3165 9.992e-15 7.620e-15 3.566e-15 457.8259 170.46
DG0207 148.1811 60.2286 9.305e-15 7.003e-15 2.804e-15 353.7217 168.62
DG0208 147.3533 67.5715 1.051e-14 8.243e-15 3.920e-15 384.2055 165.94
DG0209 150.2392 66.1266 2.094e-25 5.336e-27 2.467e-32 460.2106 164.58
DG0210 151.3730 62.5887 1.889e-25 4.819e-27 1.865e-32 409.7025 168.08
DG0211 146.6835 66.8003 7.191e-15 5.742e-15 2.718e-15 435.786 161.15
DG0212 150.8854 61.1379 1.073e-14 8.426e-15 4.218e-15 443.1424 165.85
DG0213 149.2299 66.0012 1.086e-14 7.795e-15 3.414e-15 391.6003 169.6
DG0214 152.3268 64.0988 9.707e-15 8.541e-15 3.625e-15 464.2161 170.98
DG0215 146.0281 65.8605 7.300e-15 6.903e-15 2.749e-15 496.5041 166.6
DG0216 149.1817 62.9283 6.552e-15 5.226e-15 2.048e-15 1121.3115 166.54
DG0217 147.9338 60.9216 1.361e-14 1.083e-14 3.958e-15 437.0606 169.87
DG0218 146.5965 59.9282 1.113e-14 7.946e-15 3.591e-15 368.6094 168.32
DG0219 149.2319 63.7055 7.266e-15 5.580e-15 2.510e-15 972.3154 170.53
DG0220 280.5823 57.8189 1.295e-16 1.143e-16 4.995e-17 65.7563 1515.11
DG0221 234.7375 109.1070 5.410e-15 3.685e-15 1.277e-15 460.8659 408.39
DG0222 234.6609 110.1193 1.972e-15 1.673e-15 7.733e-16 188.7615 411.72
DG0223 234.2000 108.4626 1.261e-15 9.686e-16 3.959e-16 226.3487 409.27
DG0224 234.7741 109.7228 1.629e-15 1.200e-15 6.046e-16 352.5078 411.44
DG0225 236.0025 109.4113 6.876e-26 1.882e-27 7.995e-33 227.9074 409.52
DG0226 235.0890 109.3647 1.916e-15 1.485e-15 6.665e-16 183.5297 415.51
DG0227 233.3473 108.9674 1.946e-15 1.681e-15 7.010e-16 191.2265 410.07
DG0228 234.8766 110.3436 1.875e-15 1.571e-15 6.853e-16 179.4653 416.08
DG0229 233.8206 109.5419 6.927e-26 1.762e-27 8.601e-33 189.7334 411.71
DG0230 235.7602 107.9168 6.540e-26 1.774e-27 7.931e-33 245.5498 410.26
DG0231 234.5507 109.3658 1.389e-15 1.121e-15 5.264e-16 445.3975 412.22
DG0232 233.1955 109.1080 2.315e-15 1.650e-15 7.312e-16 195.2761 409.98
DG0233 233.4459 109.0097 1.888e-15 1.588e-15 6.924e-16 182.9678 410.71
DG0234 234.9577 109.2724 2.169e-15 1.533e-15 7.315e-16 175.3471 411.59
DG0235 235.3307 108.8832 6.916e-26 1.715e-27 9.158e-33 245.4477 414.82
DG0236 234.8411 110.2877 2.832e-15 2.062e-15 9.144e-16 182.2148 410.74
DG0237 235.6868 109.1082 1.761e-15 1.548e-15 7.036e-16 192.0715 408.64
DG0238 233.9837 108.5807 2.598e-15 1.952e-15 7.911e-16 199.6311 413.32
DG0239 235.3421 110.1405 7.026e-26 1.817e-27 8.914e-33 164.2731 412.52
DG0240 234.5875 108.7861 1.366e-15 1.228e-15 4.910e-16 358.4972 413.27
DG0241 235.2381 108.6959 1.487e-15 1.245e-15 5.380e-16 354.581 409.86
DG0242 157.2222 141.6929 4.218e-16 2.789e-16 9.581e-17 159.1381 1739.53
DG0243 157.5228 141.7421 1.545e-25 4.361e-27 1.873e-32 60.0438 1739.85
DG0244 156.9945 141.6637 1.123e-16 9.545e-17 4.785e-17 46.3405 1739.59
DG0245 157.0059 141.6899 1.263e-16 9.638e-17 5.117e-17 39.4149 1743.63
DG0246 157.4403 141.6884 1.313e-16 1.035e-16 4.910e-17 46.318 1742.22
DG0247 157.1508 141.5671 1.863e-16 1.536e-16 6.064e-17 52.1316 1740.87
DG0248 157.1217 141.7648 1.291e-16 1.010e-16 4.685e-17 46.0027 1739.18
DG0249 156.9995 141.7028 1.371e-16 1.168e-16 5.429e-17 53.0103 1740.34
DG0250 157.4185 141.6250 8.965e-17 7.227e-17 3.549e-17 50.2131 1742.3
DG0251 157.2849 141.7321 1.009e-16 7.898e-17 3.093e-17 107.2812 1739.54
DG0252 157.0696 141.7339 1.327e-16 9.041e-17 4.499e-17 43.5017 1740.66
DG0253 156.9760 141.8823 1.681e-25 4.184e-27 2.114e-32 51.9111 1740.16
DG0254 157.3445 141.8895 1.369e-16 1.201e-16 5.774e-17 43.9139 1740.41
DG0255 157.2218 141.9686 1.148e-16 1.036e-16 4.299e-17 47.2699 1742.88
DG0256 241.6646 49.9731 1.605e-15 1.186e-15 3.645e-16 263.848 770.89
DG0257 242.3449 49.8387 6.401e-16 5.180e-16 2.281e-16 85.9412 772.71
DG0258 241.4088 50.5097 5.633e-26 1.422e-27 6.797e-33 118.716 773.07
DG0259 241.5104 50.1578 3.937e-16 3.085e-16 1.345e-16 161.3844 775.05
DG0260 241.2743 49.5054 5.253e-26 1.422e-27 6.827e-33 116.0639 774.01
DG0261 241.5240 49.7701 8.825e-16 6.236e-16 2.654e-16 94.6192 772.96
DG0262 241.5935 50.1446 5.413e-16 4.563e-16 2.005e-16 84.0134 774.76
DG0263 241.0952 50.0305 5.496e-16 3.963e-16 1.845e-16 89.7449 770.84
DG0264 241.6832 49.8819 4.735e-16 3.755e-16 1.513e-16 183.8539 773.06
DG0265 241.4705 50.3169 5.177e-26 1.482e-27 6.234e-33 116.8668 772.95
DG0266 242.1367 49.7760 5.782e-16 5.056e-16 1.946e-16 98.5202 774.62
DG0267 241.4146 50.4539 5.486e-26 1.347e-27 6.959e-33 93.1807 773.27
DG0268 242.0455 49.5984 5.473e-16 4.064e-16 2.029e-16 92.2899 772.96
DG0269 242.1270 49.6649 8.729e-16 6.320e-16 2.525e-16 105.4464 773.41
DG0270 135.6519 60.6293 1.242e-15 9.096e-16 3.137e-16 211.4276 908.36
DG0271 135.8233 60.5559 5.240e-16 4.204e-16 1.705e-16 97.5653 909.11
DG0272 135.6504 60.7973 5.989e-26 1.439e-27 7.165e-33 98.6359 909.31
DG0273 135.8489 60.4128 4.846e-16 3.696e-16 1.564e-16 75.7304 909.3
DG0274 135.6764 60.9855 4.365e-16 3.888e-16 1.980e-16 84.5517 908.14
