Name X Y BlueF GreenF RedF Size RadialVelocity
DG0458 24.4359 41.7644 3.944e-16 3.887e-16 1.587e-16 81.8092 884.75
DG0459 24.2970 40.7560 6.426e-16 4.800e-16 1.935e-16 79.9315 885.46
DG0460 24.2462 41.3705 3.040e-16 2.515e-16 1.101e-16 101.3108 884.87
DG0542 -9.7482 -43.1050 9.178e-17 7.342e-17 3.517e-17 32.497 2180.74
DG0543 -9.7560 -43.0892 9.492e-17 8.489e-17 4.276e-17 39.544 2180.81
DG0544 -9.7821 -43.1136 9.776e-17 8.723e-17 3.732e-17 36.1932 2180.95
DG0545 15.3563 41.0086 2.108e-16 1.959e-16 8.645e-17 200.1391 1018.5
DG0546 15.0023 40.8683 3.537e-16 2.943e-16 1.267e-16 71.8844 1018.3
DG0547 15.2442 40.8548 6.021e-26 1.605e-27 7.581e-33 101.3395 1018.53
DG0548 15.3384 41.4133 4.042e-16 3.254e-16 1.515e-16 93.9142 1016.91
DG0549 15.4655 41.5109 4.502e-16 3.088e-16 1.459e-16 82.988 1017.28
DG0550 15.3276 40.9777 2.691e-16 2.053e-16 9.559e-17 167.6941 1016.81
DG0551 15.4049 40.9136 6.230e-26 1.582e-27 7.578e-33 82.911 1017.04
DG0552 15.5966 40.9663 2.534e-16 2.229e-16 1.015e-16 97.5979 1016.79
DG0553 15.3210 40.9502 2.606e-16 1.987e-16 8.926e-17 149.0027 1018.61
DG0559 2.0161 -17.8015 2.055e-16 1.789e-16 7.619e-17 80.1156 1184.41
DG0560 1.9582 -17.8391 6.848e-26 1.769e-27 9.186e-33 78.157 1183.39
DG0561 2.0546 -17.8701 3.157e-16 2.650e-16 1.206e-16 70.8948 1183.98
DG0562 35.5651 -11.6699 1.551e-15 1.115e-15 3.546e-16 208.8749 839.61
DG0563 35.4493 -11.4499 5.231e-26 1.527e-27 6.565e-33 93.1232 838.07
DG0564 35.3597 -12.0331 6.858e-16 6.231e-16 2.327e-16 89.7182 840.14
DG0565 35.5915 -11.6611 5.243e-26 1.370e-27 7.150e-33 86.828 841.01
DG0566 35.6199 -11.8078 5.197e-16 4.037e-16 1.772e-16 98.2002 839.63
